,C,R33,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
162,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
164,40,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
165,15,85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
166,91,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
167,78,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
168,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
169,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
170,13,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
171,0,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
172,51,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
173,63,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
174,51,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
175,54,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
176,16,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
177,2,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
178,17,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
179,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
180,42,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
181,3,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
182,23,74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
183,0,100,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
184,36,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
185,64,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
186,51,25,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
187,11,28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
188,8,38,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
189,22,45,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
190,90,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
191,80,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
192,13,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
193,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
194,34,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
195,57,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
196,96,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
197,61,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
198,6,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
199,25,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
200,15,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
201,20,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
202,50,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
203,38,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
204,2,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
205,9,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
206,47,20,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
207,23,28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
