,R50,C,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
158,44,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
159,26,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
160,0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
161,34,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
162,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
164,5,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
165,23,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
166,17,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
167,22,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
168,54,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
169,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
170,27,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
171,0,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
172,31,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
173,16,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
174,37,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
175,24,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
176,19,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
177,28,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
178,3,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
179,8,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
180,62,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
181,18,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
182,22,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
183,10,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
184,18,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
185,32,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
186,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
187,44,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
188,30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
189,5,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
190,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
191,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
192,41,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
193,40,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
194,9,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
195,34,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
196,6,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
197,5,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
198,26,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
199,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
200,0,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
201,14,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
202,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
203,13,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
204,21,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
205,40,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
206,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
207,26,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
208,14,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
209,6,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
210,13,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
211,23,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
212,20,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
213,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
214,10,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
215,30,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
216,6,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
217,14,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
218,9,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
219,19,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
220,1,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
221,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
222,1,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
223,7,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
224,4,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
225,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
226,14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
227,6,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
228,6,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
229,19,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
230,26,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
231,19,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
232,2,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
233,6,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
234,1,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
235,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
236,31,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
237,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
238,29,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
239,7,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
240,4,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
241,1,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
242,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
243,15,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
244,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
245,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
246,18,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
247,1,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
248,6,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
249,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
250,30,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
251,16,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
252,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
253,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
254,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
255,5,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
256,0,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
257,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
258,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
259,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
260,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
261,3,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
262,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
263,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
264,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
265,25,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
266,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
267,1,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
268,51,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
269,1,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
270,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
271,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
272,1,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
273,1,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
274,7,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
275,8,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
276,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
277,4,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
278,0,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
279,29,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
280,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
281,4,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
282,3,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
283,8,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
284,26,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
285,1,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
286,14,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
287,19,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
288,2,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
289,21,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
290,1,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
291,12,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
292,2,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
293,2,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
294,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
295,1,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
