,C,R75,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
224,3,27,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0
225,0,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
226,5,7,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0
227,6,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
228,0,2,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0
229,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
230,0,0,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0
231,6,33,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
232,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
233,0,44,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
234,0,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
235,0,0,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0
236,21,0,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0
237,19,2,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
238,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
239,0,1,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0
240,1,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0
241,0,1,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
242,0,40,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
243,4,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
244,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
245,0,22,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
246,9,21,9,0,0,0,0,0,0,0,1,1,0,1,1,0,0
247,49,0,20,0,0,0,0,0,0,0,1,1,0,1,1,0,0
248,0,0,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0
249,0,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0
250,3,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0
251,17,24,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0
252,4,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0
253,1,0,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0
254,1,0,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0
255,3,0,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0
256,25,24,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
257,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
258,1,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
259,0,10,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0
260,8,0,91,0,0,0,0,0,0,0,0,0,0,1,1,0,0
261,2,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
262,19,1,79,0,0,0,0,0,0,0,0,0,0,1,1,0,0
263,1,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
264,19,45,20,0,0,0,0,0,0,0,1,1,0,1,1,0,0
265,78,4,16,0,0,0,0,0,0,0,1,1,0,1,1,0,0
266,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1
267,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
268,10,0,87,0,0,0,0,0,0,0,0,0,0,1,1,0,0
269,3,1,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
270,13,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0
271,6,19,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
272,3,23,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0
273,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
274,0,1,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0
275,3,0,94,0,0,0,0,0,0,0,0,0,0,1,1,0,0
276,1,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0
277,12,0,8,0,0,0,0,0,0,0,1,1,0,1,1,0,0
278,16,3,9,0,0,0,0,0,0,0,1,1,0,1,1,0,0
279,35,0,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0
280,0,0,95,0,0,0,0,0,0,0,0,0,0,1,1,0,0
281,11,0,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0
282,1,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0
283,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
284,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
285,4,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
286,0,0,79,0,0,0,0,0,0,0,0,0,0,1,1,0,0
287,20,2,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0
288,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
289,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
290,0,31,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
291,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
292,0,0,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0
293,0,0,82,0,0,0,0,0,0,0,0,0,0,1,1,0,0
294,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0
