,C,R33
708,0,49
709,6,66
710,36,23
711,2,16
712,15,5
713,1,57
714,14,61
715,52,19
716,17,53
717,41,46
718,22,28
719,20,8
720,2,16
721,91,1
722,13,86
723,2,73
724,71,17
725,64,36
726,34,6
727,59,3
728,29,14
729,61,19
730,80,0
731,85,15
732,1,93
733,21,79
734,39,0
735,72,11
736,40,52
737,11,83
738,67,31
739,43,22
740,99,1
741,18,74
742,40,60
743,34,2
744,30,67
745,4,91
746,21,76
747,41,2
748,27,73
749,33,67
750,93,0
751,0,65
752,45,41
753,14,86
754,26,66
755,5,80
756,1,19
757,7,76
758,25,50
759,24,76
760,44,38
761,39,54
762,17,83
763,41,42
764,30,40
765,24,76
766,48,42
767,5,68
768,1,50
769,48,18
770,0,63
771,1,39
772,3,28
773,25,17
774,8,41
775,10,34
776,2,37
777,2,72
778,6,94
779,10,42
780,2,45
781,22,23
782,46,10
783,9,60
784,16,46
785,0,63
786,5,92
787,29,18
788,3,67
789,1,39
790,25,30
791,25,58
792,15,85
793,0,100
794,15,85
795,4,42
796,27,35
797,88,3
798,50,1
799,26,27
800,38,51
801,3,88
802,25,24
803,9,52
804,3,33
805,6,67
806,18,34
807,8,66
808,8,45
809,4,11
810,0,80
811,11,46
812,11,86
813,19,37
814,0,56
815,3,73
816,2,98
817,38,31
818,31,51
819,1,67
820,29,22
821,44,6
822,2,58
823,5,45
824,17,58
825,0,99
826,23,20
827,12,84
828,59,2
829,54,12
830,35,20
831,62,26
832,2,98
833,3,95
834,1,79
835,11,73
836,34,43
837,1,99
838,51,12
839,2,98
840,52,9
841,22,73
842,44,43
843,24,48
844,66,26
845,0,100
846,76,0
847,5,56
848,0,67
849,0,63
850,53,6
851,6,44
852,3,44
853,2,62
854,2,72
855,0,76
856,15,56
857,60,8
858,0,81
859,6,37
860,26,59
861,4,80
862,73,13
863,60,16
864,53,21
865,46,23
866,11,60
867,5,42
868,1,92
869,32,38
870,0,80
871,17,1
872,74,26
873,73,25
874,30,70
875,55,32
876,6,12
877,0,55
878,66,7
879,58,27
880,0,73
881,1,54
882,3,78
883,17,83
884,1,67
885,20,16
886,16,39
887,4,65
888,0,100
889,18,51
890,81,19
891,9,75
892,71,3
893,78,18
894,11,89
895,60,0
896,0,66
897,0,65
898,1,58
899,5,39
900,30,14
901,1,70
902,9,76
903,5,51
904,6,52
905,22,78
906,32,34
907,54,1
908,6,55
909,35,34
910,5,57
911,2,66
912,24,37
913,19,50
914,26,31
915,0,76
916,13,32
917,1,99
918,80,11
919,27,60
920,6,10
921,3,67
922,22,48
923,10,67
924,47,24
925,5,50
926,43,14
927,18,32
928,63,9
929,2,83
930,8,70
931,0,61
932,25,75
933,0,100
934,5,52
935,0,36
936,12,55
937,20,2
938,20,0
939,2,98
940,70,17
941,0,83
942,5,53
943,20,36
944,6,81
945,0,1
946,0,33
947,0,4
948,0,1
949,0,19
950,0,100
951,25,9
952,60,0
953,31,55
954,1,87
955,44,35
956,2,91
957,0,94
958,36,29
959,44,34
960,36,64
961,8,68
962,30,29
963,21,78
964,6,66
965,2,98
966,2,82
967,25,61
968,44,11
969,29,25
970,17,21
971,4,85
972,2,98
973,0,100
974,6,94
975,0,100
976,63,37
977,0,100
978,51,1
979,46,49
980,41,48
981,52,0
982,14,66
983,41,59
984,38,43
985,4,96
986,5,76
987,0,86
988,4,91
989,44,35
990,11,89
991,55,0
992,3,97
993,2,78
994,16,57
995,0,100
996,66,3
997,53,47
998,21,52
999,41,34
1000,1,70
1001,36,51
1002,65,0
1003,44,9
1004,0,50
1005,4,53
1006,0,55
1007,17,31
1008,62,3
1009,4,27
1010,1,43
1011,17,27
1012,47,16
1013,39,25
1014,15,36
1015,0,60
1016,0,94
1017,0,56
1018,3,97
1019,5,45
1020,43,10
1021,37,25
1022,1,35
1023,3,76
1024,1,39
1025,17,42
1026,0,52
1027,0,100
1028,35,11
1029,9,50
1030,84,4
1031,0,58
1032,18,36
1033,1,64
1034,47,35
1035,9,27
1036,2,80
1037,0,44
1038,28,33
1039,12,31
1040,2,75
1041,0,37
1042,0,16
1043,0,29
1044,39,13
1045,53,14
1046,44,28
1047,1,22
1048,0,84
1049,1,27
1050,2,57
1051,0,86
1052,49,13
1053,2,58
1054,12,36
1055,14,34
1056,0,21
1057,0,65
1058,13,84
1059,0,50
1060,15,62
1061,11,89
1062,1,48
1063,0,70
1064,0,39
1065,0,5
1066,5,87
1067,5,76
1068,4,60
1069,36,26
1070,20,46
1071,9,64
1072,26,53
1073,73,7
1074,1,56
1075,0,69
1076,0,97
1077,7,23
1078,76,10
1079,29,28
1080,0,65
1081,0,66
1082,1,49
1083,6,72
1084,1,64
1085,2,48
1086,1,50
1087,17,63
1088,18,31
1089,65,5
1090,1,55
1091,6,62
1092,1,65
1093,26,23
1094,12,41
1095,1,56
1096,4,55
1097,78,2
1098,0,81
1099,0,100
1100,9,81
1101,35,44
1102,6,42
1103,2,55
1104,8,26
