,F,C,R50
1077,1,31,0
1078,2,2,2
1079,3,31,2
1080,11,7,2
1081,2,6,0
1082,2,1,0
1083,8,32,9
1084,0,8,1
1085,6,14,0
1086,2,16,13
1087,0,2,1
1088,4,37,2
1089,7,21,2
1090,0,0,2
1091,3,5,1
1092,2,8,6
1093,2,1,0
1094,7,31,0
1095,0,61,0
1096,4,20,7
1097,3,8,0
1098,0,7,26
1099,1,39,7
1100,3,51,0
1101,5,19,11
1102,0,13,2
1103,2,30,9
1104,20,17,0
1105,0,44,2
1106,0,8,4
1107,2,35,0
1108,4,16,0
1109,3,33,1
1110,1,9,1
1111,0,27,2
1112,1,6,0
1113,3,28,3
1114,1,5,1
1115,0,23,0
1116,0,4,3
1117,1,8,0
1118,11,35,0
1119,1,1,1
1120,1,3,17
1121,0,4,0
1122,3,8,0
1123,4,37,0
1124,0,22,2
1125,0,2,0
1126,0,9,0
1127,4,37,2
1128,0,19,6
1129,1,4,15
1130,1,17,1
1131,0,13,8
1132,4,26,4
1133,6,18,3
1134,2,3,7
1135,0,55,0
1136,0,81,0
1137,0,42,0
1138,0,12,49
1139,1,2,3
1140,5,14,1
1141,0,56,0
1142,0,46,0
1143,0,29,2
1144,0,26,0
1145,5,3,10
1146,16,29,0
1147,0,71,1
1148,0,19,6
1149,2,3,1
1150,11,1,0
1151,7,11,2
1152,0,32,1
1153,5,17,0
1154,11,20,3
1155,0,9,39
1156,4,20,7
1157,1,0,0
1158,1,10,6
1159,1,67,1
1160,7,16,9
1161,3,14,14
1162,1,2,0
1163,0,1,3
1164,0,2,0
1165,13,9,9
1166,1,1,0
1167,6,1,0
1168,1,55,0
1169,1,45,0
1170,6,1,10
1171,1,1,0
1172,1,9,3
1173,0,4,5
1174,4,7,0
1175,0,1,0
1176,1,41,0
1177,0,81,3
1178,1,41,1
1179,0,70,0
1180,0,45,15
1181,13,56,3
1182,0,73,0
1183,0,61,2
1184,0,46,3
1185,0,95,0
1186,0,68,2
1187,0,56,1
1188,0,59,0
1189,1,64,0
1190,0,42,0
1191,0,100,0
1192,0,92,0
1193,1,58,0
1194,0,38,0
1195,0,67,2
1196,0,62,0
1197,0,10,1
1198,1,7,0
1199,2,80,0
1200,0,1,2
1201,0,81,0
1202,0,69,0
1203,1,0,2
1204,0,23,0
1205,1,43,0
1206,7,43,0
1207,0,48,5
1208,0,63,1
1209,0,100,0
1210,0,50,0
1211,0,77,0
1212,0,84,0
1213,0,100,0
1214,0,69,0
1215,0,64,0
1216,0,55,2
1217,0,87,0
1218,0,78,0
1219,0,50,0
1220,1,4,0
1221,2,5,6
1222,0,94,0
1223,0,2,14
1224,0,22,0
1225,0,1,0
1226,0,88,0
1227,0,80,1
1228,0,14,12
1229,0,24,3
1230,0,74,0
1231,0,61,1
1232,0,100,0
1233,0,86,0
1234,0,46,0
1235,1,62,0
1236,0,45,0
1237,0,91,0
1238,0,45,0
1239,0,36,8
1240,0,62,0
1241,0,66,0
1242,2,37,0
1243,0,65,1
1244,0,94,0
1245,0,66,0
1246,0,49,0
1247,0,59,0
1248,0,66,0
1249,0,98,0
1250,0,55,0
1251,1,31,3
1252,0,34,1
1253,0,24,3
1254,0,30,12
1255,0,100,0
1256,0,7,0
1257,0,1,0
1258,1,3,1
1259,1,52,0
1260,0,55,0
1261,0,41,0
1262,0,77,0
1263,0,45,0
1264,0,71,0
1265,0,67,0
1266,0,100,0
1267,1,32,1
1268,0,54,0
1269,0,74,0
1270,0,76,0
1271,0,43,0
1272,1,78,0
1273,0,100,0
1274,0,100,0
1275,0,86,0
1276,0,63,0
1277,0,69,0
1278,0,40,0
1279,0,55,0
1280,0,71,0
1281,0,73,0
1282,4,0,9
1283,1,3,0
1284,0,37,1
1285,0,39,0
1286,4,4,0
1287,1,7,18
1288,0,3,25
1289,2,22,4
1290,2,37,0
1291,0,2,0
1292,0,36,2
1293,4,1,12
1294,4,2,3
1295,1,27,3
1296,0,14,2
1297,0,51,0
1298,0,59,0
1299,2,14,10
1300,0,23,19
1301,0,10,8
1302,0,1,0
1303,2,37,1
1304,3,4,0
1305,1,2,1
1306,0,29,5
1307,0,21,0
1308,4,16,11
1309,0,7,14
1310,6,6,7
1311,0,10,1
1312,1,12,0
1313,1,0,1
1314,0,41,0
1315,9,13,3
1316,1,4,11
1317,0,25,10
1318,0,22,0
1319,0,1,0
1320,0,4,4
1321,0,30,3
1322,7,22,6
1323,7,42,1
1324,0,21,7
1325,1,24,1
1326,2,1,1
1327,9,23,0
1328,1,28,0
1329,4,1,2
1330,0,14,0
1331,5,40,2
1332,0,60,0
1333,6,37,3
1334,3,55,0
1335,0,4,18
1336,1,2,20
1337,7,8,0
1338,1,25,0
1339,12,1,7
1340,0,14,21
1341,2,60,0
1342,0,12,18
1343,0,1,0
1344,0,25,6
1345,0,7,7
1346,3,14,0
1347,7,27,13
1348,1,51,1
1349,0,46,0
1350,1,4,4
1351,6,0,0
1352,0,1,9
1353,2,32,3
1354,6,0,0
1355,0,21,1
1356,2,1,1
1357,1,8,5
1358,0,1,0
1359,0,22,0
1360,1,41,10
1361,0,0,9
1362,3,2,14
1363,0,4,0
1364,0,48,0
1365,0,40,0
1366,0,0,9
1367,2,11,1
1368,1,32,0
1369,0,9,0
1370,16,5,4
1371,2,41,0
1372,2,4,16
1373,0,2,1
1374,0,1,5
1375,0,6,7
1376,0,38,0
1377,1,55,3
1378,5,3,0
1379,10,27,2
1380,0,34,0
1381,8,11,1
1382,2,34,4
1383,0,67,0
1384,1,13,0
1385,2,20,2
1386,0,9,1
1387,1,26,14
1388,0,95,1
1389,1,48,0
1390,6,21,5
1391,1,43,1
1392,3,61,0
1393,2,43,0
1394,7,55,2
1395,4,5,2
1396,7,23,0
1397,1,1,0
1398,2,27,1
1399,0,1,3
1400,2,29,1
1401,0,20,1
1402,0,26,1
1403,2,6,12
1404,3,11,0
1405,3,12,5
1406,0,9,4
1407,4,30,4
1408,1,2,1
1409,0,12,4
1410,1,43,4
1411,2,19,5
1412,6,16,4
1413,4,47,2
1414,0,58,0
1415,1,1,1
1416,1,22,14
1417,2,11,1
1418,10,20,9
1419,12,43,0
1420,1,86,0
1421,0,78,1
1422,0,36,0
1423,1,5,0
1424,0,12,0
1425,0,36,0
1426,0,12,0
1427,0,54,0
1428,0,1,5
1429,2,7,0
1430,0,32,0
1431,0,25,0
1432,0,32,0
1433,0,54,0
1434,0,49,0
1435,0,24,0
1436,0,36,0
1437,0,11,0
1438,0,15,0
1439,0,19,1
1440,0,41,0
1441,0,34,0
1442,0,37,1
1443,0,47,0
1444,0,58,0
1445,0,14,0
1446,0,21,0
1447,0,68,0
1448,1,39,0
1449,0,21,1
1450,0,32,0
1451,0,26,6
1452,0,35,0
1453,0,75,0
1454,1,30,0
1455,0,13,9
1456,3,11,0
1457,0,13,0
1458,0,5,2
1459,1,61,3
1460,1,47,0
1461,0,29,0
1462,0,47,0
1463,0,33,0
1464,0,35,1
1465,1,2,1
1466,1,22,0
1467,1,5,1
1468,1,45,0
1469,0,16,5
1470,0,3,0
1471,4,20,5
1472,0,28,0
1473,0,43,0
1474,3,9,7
1475,1,35,1
1476,0,23,0
1477,1,29,0
1478,1,63,0
1479,0,36,0
1480,0,49,0
1481,0,86,0
1482,0,88,0
1483,4,63,0
1484,0,98,0
1485,0,62,0
1486,1,59,1
1487,2,98,0
1488,0,100,0
1489,0,74,0
1490,0,100,0
1491,0,75,0
1492,0,41,1
1493,0,7,4
1494,0,100,0
1495,0,6,1
1496,0,11,0
1497,0,4,1
1498,0,4,2
1499,0,96,0
1500,0,65,16
1501,0,16,0
1502,0,7,3
1503,0,65,0
1504,0,69,0
1505,1,52,2
1506,0,78,0
1507,0,82,0
1508,0,78,0
1509,0,24,28
1510,0,24,3
1511,0,7,2
1512,1,1,0
1513,0,11,1
1514,1,74,0
1515,0,7,0
1516,0,33,7
1517,0,7,7
1518,0,90,2
1519,0,74,0
1520,0,10,2
1521,0,16,2
1522,0,58,0
1523,0,69,0
1524,0,55,2
1525,27,12,8
1526,0,94,3
1527,0,62,1
1528,1,99,0
1529,1,54,2
1530,0,100,0
1531,0,100,0
1532,0,72,0
1533,0,22,0
1534,0,28,18
1535,1,52,0
1536,0,26,7
1537,1,3,2
1538,0,21,0
1539,0,100,0
1540,0,99,0
1541,1,5,0
1542,0,7,16
1543,0,31,1
1544,0,20,9
1545,2,98,0
1546,0,80,0
1547,0,99,0
1548,1,40,4
1549,0,48,1
1550,0,100,0
1551,0,100,0
1552,0,86,0
1553,0,73,0
1554,0,100,0
1555,0,65,0
1556,0,54,1
1557,0,87,0
1558,0,79,0
1559,0,100,0
1560,0,100,0
1561,0,75,0
1562,0,59,0
1563,0,100,0
1564,0,100,0
1565,0,100,0
1566,0,100,0
1567,0,17,0
1568,1,10,1
1569,0,10,21
1570,0,10,0
1571,0,76,0
1572,0,99,0
1573,0,30,0
1574,1,3,1
1575,0,100,0
1576,0,57,0
1577,0,61,0
1578,0,100,0
1579,0,86,0
1580,0,62,0
1581,0,100,0
1582,0,55,0
