,R50,C,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
242,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
243,0,0,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
244,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
245,1,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
246,0,1,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
247,0,1,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
248,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
249,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
250,0,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
251,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
252,1,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
253,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
254,3,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
255,0,0,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
256,0,0,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
257,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
258,6,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
259,0,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
260,0,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
261,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
262,20,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
263,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
264,17,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
265,23,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
266,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
