,F,C,R50
757,0,83,0
758,3,72,0
759,1,99,0
760,2,80,0
761,0,93,0
762,0,100,0
763,0,83,0
764,0,70,0
765,0,100,0
766,0,90,0
767,0,73,0
768,0,51,0
769,0,66,0
770,0,63,0
771,0,40,0
772,0,31,0
773,0,42,0
774,0,49,0
775,0,44,0
776,1,38,0
777,0,74,0
778,0,100,0
779,0,52,0
780,2,45,0
781,0,45,0
782,0,56,0
783,0,69,0
784,0,62,0
785,0,63,0
786,0,97,0
787,0,47,0
788,0,70,0
789,0,40,0
790,0,55,0
791,0,83,0
792,0,100,0
793,0,100,0
794,0,100,0
795,0,46,0
796,0,62,0
797,0,91,0
798,0,51,0
799,0,52,1
800,0,89,0
801,0,91,0
802,0,49,0
803,0,61,0
804,0,36,0
805,0,73,0
806,0,52,0
807,0,74,0
808,0,53,0
809,2,12,1
810,1,79,0
811,0,57,0
812,0,97,0
813,0,56,0
814,0,56,0
815,0,76,0
816,0,100,0
817,0,69,0
818,0,82,0
819,0,68,0
820,0,51,0
821,0,50,0
822,0,60,0
823,0,50,0
824,0,75,0
825,0,99,0
826,1,42,0
827,0,96,0
828,0,61,0
829,0,66,0
830,0,55,0
831,0,88,0
832,0,100,0
833,0,98,0
834,0,80,0
835,0,84,0
836,0,77,0
837,0,100,0
838,0,63,0
839,0,100,0
840,0,61,0
841,0,95,0
842,2,85,0
843,3,69,0
844,2,90,0
845,0,100,0
846,0,76,0
847,0,61,0
848,0,67,0
849,0,63,0
850,0,59,0
851,0,50,0
852,0,47,0
853,0,64,0
854,0,74,0
855,0,76,0
856,0,71,0
857,0,68,0
858,0,81,0
859,0,43,0
860,0,85,0
861,0,84,0
862,1,85,0
863,0,76,0
864,0,74,0
865,0,69,0
866,0,71,0
867,0,47,0
868,0,93,0
869,1,69,0
870,0,80,0
871,0,18,0
872,0,100,0
873,0,98,0
874,3,97,0
875,1,86,0
876,0,18,0
877,0,55,0
878,0,73,0
879,0,85,0
880,1,72,0
881,0,55,0
882,0,81,0
883,1,99,0
884,0,68,0
885,1,35,0
886,3,52,0
887,1,68,0
888,0,100,0
889,0,69,0
890,0,100,0
891,0,84,0
