,C,R50
1148,0,25
1149,1,5
1150,10,2
1151,3,17
1152,3,30
1153,19,3
1154,17,17
1155,23,25
1156,29,2
1157,0,1
1158,15,2
1159,69,0
1160,0,32
1161,1,30
1162,0,3
1163,4,0
1164,0,2
1165,19,12
1166,0,2
1167,5,2
1168,29,27
1169,23,23
1170,14,3
1171,2,0
1172,0,13
1173,6,3
1174,2,9
1175,1,0
1176,12,30
1177,0,84
1178,27,16
1179,68,2
1180,38,22
1181,72,0
1182,73,0
1183,61,2
1184,49,0
1185,95,0
1186,69,1
1187,45,12
1188,58,1
1189,13,52
1190,40,2
1191,95,5
1192,90,2
1193,59,0
1194,29,9
1195,66,3
1196,49,13
1197,2,9
1198,6,2
1199,78,4
1200,2,1
1201,61,20
1202,69,0
1203,2,1
1204,16,7
1205,44,0
1206,50,0
1207,52,1
1208,57,7
1209,78,22
1210,45,5
1211,77,0
1212,84,0
1213,100,0
1214,58,11
1215,56,8
1216,54,3
1217,64,23
1218,75,3
1219,46,5
1220,2,3
1221,6,7
1222,86,8
1223,7,9
1224,19,3
1225,1,0
1226,88,0
1227,81,0
1228,16,10
1229,26,1
1230,73,1
1231,52,10
1232,81,19
1233,86,0
1234,46,0
1235,63,0
1236,45,0
1237,91,0
1238,0,45
1239,44,0
1240,45,17
1241,64,2
1242,38,1
1243,64,2
1244,55,39
1245,27,39
1246,21,28
1247,47,12
1248,63,3
1249,98,0
1250,39,16
1251,0,35
1252,24,11
1253,9,18
1254,35,7
1255,100,0
1256,6,1
1257,0,1
1258,3,2
1259,51,2
1260,55,0
1261,27,14
1262,75,2
1263,29,16
1264,52,19
1265,66,1
1266,100,0
1267,33,1
1268,0,54
1269,65,9
1270,76,0
1271,43,0
1272,78,1
1273,41,59
1274,100,0
1275,86,0
1276,63,0
1277,67,2
1278,40,0
1279,55,0
1280,70,1
1281,73,0
1282,0,13
1283,0,4
1284,0,38
1285,21,18
1286,6,2
1287,23,3
1288,25,3
1289,20,8
1290,32,7
1291,1,1
1292,5,33
1293,1,16
1294,9,0
1295,31,0
1296,7,9
1297,50,1
1298,59,0
1299,13,13
1300,29,13
1301,11,7
1302,1,0
1303,13,27
1304,5,2
1305,1,3
1306,15,19
1307,19,2
1308,5,26
1309,17,4
1310,8,11
1311,4,7
1312,2,11
1313,0,2
1314,30,11
1315,25,0
1316,5,11
1317,12,23
1318,6,16
1319,1,0
1320,8,0
1321,32,1
1322,15,20
1323,19,31
1324,22,6
1325,26,0
1326,1,3
1327,21,11
1328,18,11
1329,7,0
1330,4,10
1331,19,28
1332,30,30
1333,22,24
1334,51,7
1335,0,22
1336,1,22
1337,13,2
1338,24,2
1339,0,20
1340,14,21
1341,62,0
1342,0,30
1343,1,0
1344,27,4
1345,1,13
1346,3,14
1347,47,0
1348,50,3
1349,21,25
1350,7,2
1351,1,5
1352,6,4
1353,28,9
1354,3,3
1355,21,1
1356,3,1
1357,2,12
1358,1,0
1359,5,17
1360,52,0
1361,1,8
1362,13,6
1363,4,0
1364,12,36
1365,38,2
1366,3,6
1367,10,4
1368,4,29
1369,5,4
1370,16,10
1371,24,19
1372,4,18
1373,2,1
1374,0,6
1375,4,9
1376,38,0
1377,4,55
1378,1,7
1379,12,27
1380,0,34
1381,19,1
1382,38,2
1383,59,8
1384,6,8
1385,19,5
1386,6,4
1387,38,3
1388,94,2
1389,49,0
1390,25,7
1391,44,1
1392,8,56
1393,32,13
1394,40,24
1395,6,5
1396,7,23
1397,1,0
1398,24,6
1399,3,1
1400,11,21
1401,1,19
1402,11,16
1403,17,3
1404,4,11
1405,20,0
1406,2,11
1407,38,0
1408,4,0
1409,4,12
1410,6,42
1411,13,13
1412,21,5
1413,8,45
1414,45,13
1415,0,3
1416,37,0
1417,5,9
1418,29,10
1419,50,5
1420,87,0
1421,10,69
1422,36,0
1423,6,0
1424,12,0
1425,36,0
1426,12,0
1427,54,0
1428,5,1
1429,8,1
1430,32,0
1431,25,0
1432,24,8
1433,54,0
1434,37,12
1435,24,0
1436,34,2
1437,11,0
1438,13,2
1439,19,1
1440,41,0
1441,23,11
1442,38,0
1443,47,0
1444,58,0
1445,14,0
1446,6,15
1447,68,0
1448,39,1
1449,21,1
1450,32,0
1451,31,1
1452,35,0
1453,75,0
1454,31,0
1455,22,0
1456,0,14
1457,4,9
1458,4,3
1459,22,43
1460,45,3
1461,18,11
1462,47,0
1463,33,0
1464,29,7
1465,4,0
1466,1,22
1467,7,0
1468,46,0
1469,20,1
1470,3,0
1471,24,5
1472,18,10
1473,43,0
1474,19,0
1475,36,1
1476,9,14
1477,13,17
1478,64,0
1479,35,1
1480,37,12
1481,82,4
1482,81,7
1483,67,0
1484,76,22
1485,56,6
1486,61,0
1487,84,16
1488,100,0
1489,71,3
1490,100,0
1491,75,0
1492,22,20
1493,2,9
1494,100,0
1495,2,5
1496,8,3
1497,3,2
1498,1,5
1499,93,3
1500,80,1
1501,13,3
1502,8,2
1503,54,11
1504,58,11
1505,51,4
1506,76,2
1507,66,16
1508,40,38
1509,51,1
1510,2,25
1511,3,6
1512,2,0
1513,11,1
1514,72,3
1515,5,2
1516,30,10
1517,1,13
1518,92,0
1519,69,5
1520,0,12
1521,10,8
1522,35,23
1523,68,1
1524,44,13
1525,4,43
1526,93,4
1527,38,25
1528,99,1
1529,56,1
1530,98,2
1531,95,5
1532,64,8
1533,12,10
1534,3,43
1535,31,22
1536,4,29
1537,0,6
1538,2,19
1539,100,0
1540,99,0
1541,5,1
1542,23,0
1543,27,5
1544,19,10
1545,100,0
1546,79,1
1547,99,0
1548,30,15
1549,44,5
1550,96,4
1551,100,0
1552,86,0
1553,70,3
1554,99,1
1555,48,17
1556,28,27
1557,87,0
1558,77,2
1559,100,0
1560,100,0
1561,74,1
1562,59,0
1563,89,11
1564,91,9
1565,100,0
1566,99,1
1567,3,14
1568,8,4
1569,8,23
1570,1,9
1571,73,3
1572,80,19
1573,3,27
1574,1,4
1575,94,6
1576,53,4
1577,57,4
1578,100,0
1579,85,1
1580,38,24
1581,100,0
1582,55,0
1583,100,0
1584,22,20
1585,62,10
1586,74,0
1587,100,0
1588,100,0
1589,49,1
1590,0,56
1591,69,17
1592,48,5
1593,99,0
1594,96,4
1595,85,0
1596,99,0
1597,64,3
1598,53,5
1599,0,29
1600,4,8
1601,15,2
1602,24,2
1603,8,23
1604,23,7
1605,12,43
1606,51,0
1607,28,2
1608,12,12
1609,16,19
1610,3,44
1611,38,7
1612,20,2
1613,1,27
1614,37,7
1615,0,14
1616,45,14
1617,89,0
1618,4,23
1619,0,5
1620,39,7
1621,14,2
1622,6,23
1623,0,2
1624,1,1
1625,30,3
1626,4,2
1627,48,1
1628,8,6
1629,7,29
1630,34,3
1631,7,4
1632,14,2
1633,2,0
1634,7,4
1635,18,3
1636,21,1
1637,3,1
1638,22,1
1639,33,5
1640,1,2
1641,2,8
1642,4,2
1643,44,0
1644,27,2
1645,40,1
1646,1,27
1647,6,22
1648,15,9
1649,0,14
1650,8,21
1651,8,0
1652,23,1
1653,13,32
1654,18,29
1655,20,28
1656,16,19
1657,12,26
1658,31,0
1659,46,15
1660,6,36
1661,9,29
1662,16,1
1663,14,3
1664,18,27
1665,2,44
1666,24,6
1667,4,0
1668,6,1
1669,9,13
1670,4,22
1671,3,22
1672,30,17
1673,25,4
1674,12,1
1675,21,2
1676,55,25
1677,13,17
1678,10,7
1679,15,3
1680,54,1
1681,1,16
1682,4,14
1683,22,0
1684,2,0
1685,2,38
1686,35,11
1687,7,17
1688,7,17
1689,0,11
1690,9,16
1691,17,9
1692,7,5
1693,76,0
1694,46,5
1695,10,4
1696,24,29
1697,53,0
1698,16,32
1699,18,17
1700,9,72
1701,38,3
1702,12,35
1703,5,0
1704,27,0
1705,57,3
1706,38,3
1707,28,11
1708,55,6
1709,28,1
1710,9,35
1711,63,0
1712,61,20
1713,0,1
1714,49,3
1715,40,35
1716,38,20
1717,9,19
1718,62,2
1719,99,1
1720,61,0
1721,34,6
1722,21,3
1723,19,26
1724,23,24
1725,36,0
1726,1,3
1727,0,33
1728,25,12
1729,3,4
1730,1,21
1731,18,7
1732,19,0
1733,64,1
1734,11,60
1735,5,45
1736,8,22
1737,11,13
1738,11,2
1739,10,2
1740,9,11
1741,56,7
1742,38,10
1743,1,39
1744,4,2
1745,21,8
1746,24,16
1747,31,2
1748,16,1
1749,25,0
1750,24,58
