,C,R50
1189,84,0
1190,95,0
1191,58,0
1192,43,4
1193,62,0
1194,94,0
1195,66,0
1196,74,0
1197,1,1
1198,48,1
1199,41,0
1200,53,9
1201,80,0
1202,80,0
1203,93,7
1204,79,2
1205,58,0
1206,60,0
1207,77,0
1208,52,0
1209,74,0
1210,96,2
1211,91,0
1212,90,0
1213,0,81
1214,65,1
1215,43,3
1216,34,27
1217,31,3
1218,73,3
1219,32,56
1220,76,0
1221,80,0
1222,93,0
1223,0,77
1224,73,0
1225,47,0
1226,77,11
1227,79,1
1228,77,23
1229,39,54
1230,85,0
1231,59,0
1232,75,0
1233,49,0
1234,52,0
1235,2,3
1236,1,0
1237,1,1
1238,2,1
1239,80,0
1240,10,28
1241,25,0
1242,79,4
1243,30,10
1244,15,13
1245,88,0
1246,72,0
1247,90,0
1248,2,0
1249,56,0
1250,53,1
1251,51,11
1252,76,4
1253,85,3
1254,54,1
1255,68,0
1256,0,1
1257,72,20
1258,39,38
1259,52,13
1260,42,2
1261,56,0
1262,46,0
1263,90,0
1264,89,8
1265,66,0
1266,5,2
1267,42,4
1268,87,0
1269,24,9
1270,92,0
1271,81,0
1272,60,10
1273,32,12
1274,82,0
1275,92,0
1276,23,29
1277,48,0
1278,77,0
1279,64,7
1280,98,1
1281,63,0
1282,54,0
1283,50,0
1284,85,0
1285,0,1
1286,11,35
1287,33,52
1288,72,0
1289,18,28
1290,4,75
1291,4,2
1292,6,53
1293,80,1
1294,56,21
1295,0,51
1296,40,24
1297,2,1
1298,91,0
1299,2,2
1300,1,1
1301,2,0
1302,28,8
1303,71,0
1304,35,0
1305,0,1
1306,87,0
1307,19,13
1308,24,1
1309,26,16
1310,68,0
1311,63,0
1312,0,3
1313,78,0
1314,83,0
1315,0,86
1316,75,6
1317,41,0
1318,33,34
1319,78,0
1320,80,14
1321,81,3
1322,67,0
1323,36,5
1324,56,12
1325,44,0
1326,59,0
1327,63,33
1328,82,15
1329,26,33
1330,91,0
1331,43,10
1332,26,33
1333,46,9
1334,49,21
1335,21,26
1336,7,56
1337,73,13
1338,4,1
1339,79,0
1340,42,14
1341,34,14
1342,30,23
1343,62,7
1344,24,41
1345,2,65
1346,86,12
1347,100,0
1348,91,0
1349,0,3
1350,6,46
1351,18,81
1352,34,45
1353,25,47
1354,26,18
1355,23,38
1356,1,2
1357,1,75
1358,20,55
1359,19,68
1360,6,65
1361,4,86
1362,0,60
1363,3,91
1364,5,83
1365,49,39
1366,2,52
1367,57,18
1368,80,3
1369,24,54
1370,4,82
1371,5,1
1372,0,82
1373,73,19
1374,18,54
1375,63,25
1376,0,71
1377,69,9
1378,27,30
1379,50,28
1380,41,22
1381,12,5
1382,0,82
1383,3,66
1384,28,57
1385,3,0
1386,9,1
1387,12,0
1388,72,3
1389,16,66
1390,20,55
1391,35,8
1392,5,61
1393,0,94
1394,19,64
1395,12,0
1396,10,39
1397,63,25
1398,78,3
1399,9,79
1400,29,0
1401,39,45
1402,59,7
1403,3,47
1404,31,52
1405,41,14
1406,30,51
1407,47,19
1408,19,64
1409,0,94
1410,20,65
1411,31,40
1412,51,27
1413,6,1
1414,0,22
1415,31,0
1416,4,6
1417,11,58
1418,41,25
1419,41,29
1420,70,18
1421,1,64
1422,41,47
1423,18,42
1424,5,61
1425,9,80
1426,6,0
1427,58,31
1428,63,21
1429,2,67
1430,5,2
1431,1,1
1432,25,0
1433,0,33
1434,2,2
1435,27,0
1436,24,0
1437,54,0
1438,1,1
1439,2,1
1440,1,0
1441,6,0
1442,76,3
1443,45,6
1444,42,0
1445,21,43
1446,8,33
1447,32,1
1448,58,0
1449,1,0
1450,87,0
1451,82,0
1452,1,1
1453,60,0
1454,75,0
1455,57,0
1456,73,0
1457,35,13
1458,57,0
1459,87,0
1460,48,36
1461,90,0
1462,49,0
1463,20,34
1464,50,0
1465,68,3
1466,67,1
1467,48,19
1468,61,0
1469,2,2
1470,73,2
1471,66,1
1472,48,2
1473,71,28
1474,69,21
1475,66,3
1476,49,2
1477,51,0
1478,75,0
1479,39,10
1480,38,16
1481,15,20
1482,78,0
1483,62,7
1484,44,1
1485,86,0
1486,51,0
1487,95,0
1488,51,0
1489,36,0
1490,74,0
1491,91,0
1492,72,2
1493,32,2
1494,70,0
1495,43,0
1496,62,1
1497,24,23
1498,70,0
1499,71,0
1500,5,46
1501,21,22
1502,64,2
1503,71,0
1504,57,0
1505,95,0
1506,44,0
1507,41,6
1508,48,35
1509,32,0
1510,97,3
1511,67,1
1512,42,14
1513,55,0
1514,2,0
1515,82,0
1516,72,1
1517,86,0
1518,56,9
1519,82,0
1520,76,0
1521,48,0
1522,5,95
1523,58,0
1524,30,1
1525,73,5
1526,39,9
1527,81,8
1528,92,2
1529,18,61
1530,49,0
1531,71,0
1532,0,97
1533,78,0
1534,67,0
1535,37,4
1536,67,1
1537,100,0
1538,57,0
1539,90,0
1540,59,0
1541,90,0
1542,80,0
1543,6,83
1544,0,58
1545,1,66
1546,42,10
1547,2,0
1548,40,27
1549,26,39
1550,14,65
1551,51,2
1552,67,20
1553,59,16
1554,6,0
1555,2,1
1556,87,0
1557,2,4
1558,0,3
1559,1,0
1560,0,2
1561,25,0
1562,4,40
1563,37,3
1564,80,0
1565,14,9
1566,41,3
1567,28,0
1568,74,0
1569,81,0
1570,1,1
1571,86,4
1572,93,0
1573,37,29
1574,52,2
1575,44,1
1576,91,3
1577,68,26
1578,29,25
1579,46,1
1580,11,70
1581,62,6
1582,47,0
1583,50,14
1584,70,0
1585,89,0
1586,63,1
1587,47,13
1588,72,0
1589,56,0
1590,80,7
1591,7,45
1592,35,12
1593,52,20
1594,2,46
1595,65,0
1596,61,0
1597,1,3
1598,36,5
1599,38,0
1600,53,0
1601,38,0
1602,44,38
1603,47,12
1604,46,4
1605,58,0
1606,70,0
1607,62,4
1608,25,73
1609,16,56
1610,59,1
1611,42,27
1612,30,27
1613,60,7
1614,53,27
1615,51,38
1616,19,71
1617,0,23
1618,66,10
1619,0,57
1620,19,41
1621,36,18
1622,50,43
1623,2,63
1624,0,7
1625,27,40
1626,30,47
1627,40,43
1628,0,66
1629,23,0
1630,1,0
1631,1,2
1632,1,0
1633,14,0
1634,3,3
1635,2,0
1636,1,0
1637,4,0
1638,28,0
1639,38,0
1640,27,15
1641,53,5
1642,43,0
1643,65,1
1644,14,4
1645,72,0
1646,54,1
1647,50,1
1648,1,68
1649,67,1
1650,71,0
1651,31,2
1652,70,0
1653,53,3
1654,20,0
1655,76,0
1656,38,0
1657,20,1
1658,54,0
1659,75,11
1660,37,4
1661,39,5
1662,32,2
1663,44,1
1664,60,4
1665,37,6
1666,37,14
1667,40,0
1668,51,0
1669,91,0
1670,20,22
1671,65,0
1672,2,1
1673,10,1
1674,9,0
1675,0,57
1676,44,43
1677,0,87
1678,0,75
1679,0,92
1680,33,2
1681,9,0
1682,6,66
1683,46,35
1684,1,39
1685,47,37
1686,4,80
1687,6,82
1688,2,0
1689,3,81
1690,4,51
1691,6,58
1692,16,71
1693,36,61
1694,3,82
1695,14,55
1696,1,83
1697,34,15
1698,1,0
1699,11,62
1700,34,11
1701,4,73
1702,17,0
1703,12,2
1704,5,4
1705,2,0
1706,2,1
1707,1,0
1708,38,51
1709,10,51
1710,48,5
1711,80,3
1712,31,46
1713,1,91
1714,1,34
1715,1,79
1716,20,50
1717,0,51
1718,46,1
1719,21,0
1720,35,0
1721,1,0
1722,0,40
1723,7,1
1724,10,1
1725,33,36
1726,44,30
1727,12,63
1728,40,44
1729,0,82
1730,0,55
1731,38,42
1732,38,22
1733,38,8
1734,4,72
1735,1,87
1736,22,49
1737,24,11
1738,0,1
1739,0,1
1740,0,10
1741,1,1
1742,2,0
1743,61,0
1744,1,2
1745,1,0
1746,6,0
1747,25,3
1748,1,39
1749,3,22
1750,2,0
1751,94,0
1752,55,0
1753,4,11
1754,58,0
1755,99,0
1756,100,0
1757,1,1
1758,100,0
1759,90,0
1760,0,81
1761,52,22
1762,86,3
1763,83,0
1764,73,0
1765,37,63
1766,21,79
1767,0,1
1768,57,15
1769,50,1
1770,15,43
1771,36,3
1772,46,19
1773,84,0
1774,63,17
1775,36,15
1776,65,0
1777,19,3
1778,55,0
1779,1,40
1780,20,30
1781,0,1
1782,5,81
1783,43,10
1784,27,39
1785,3,1
1786,99,0
1787,57,1
1788,55,3
1789,37,15
1790,60,31
1791,27,17
1792,61,4
1793,46,20
1794,85,0
1795,50,0
1796,0,4
1797,1,0
1798,92,0
1799,1,2
1800,4,2
1801,2,0
1802,26,4
1803,30,34
1804,50,5
1805,96,0
1806,33,6
1807,41,7
1808,26,12
1809,76,0
1810,99,0
1811,0,1
1812,56,0
1813,73,0
1814,11,35
1815,95,0
1816,61,9
1817,31,55
1818,11,89
1819,73,0
1820,57,1
1821,0,97
1822,74,1
1823,78,5
1824,16,26
1825,29,22
1826,53,5
1827,99,0
1828,63,15
1829,100,0
1830,44,15
1831,46,26
1832,27,30
1833,59,1
1834,88,3
1835,0,1
1836,46,10
1837,82,0
