,F,C,R50
1432,61,0,0
1433,46,0,0
1434,85,0,0
1435,50,0,0
1436,1,0,0
1437,92,0,0
1438,0,0,1
1439,4,0,0
1440,2,0,0
1441,26,0,0
1442,28,0,2
1443,50,0,0
1444,96,0,0
1445,33,0,0
1446,41,0,0
1447,26,0,0
1448,76,0,0
1449,99,0,0
1450,56,0,0
1451,73,0,0
1452,8,0,3
1453,95,0,0
1454,60,0,1
1455,28,0,3
1456,11,0,0
1457,73,0,0
1458,57,0,0
1459,74,0,0
1460,78,0,0
1461,16,0,0
1462,29,0,0
1463,49,0,4
1464,87,0,12
1465,63,0,0
1466,100,0,0
1467,44,0,0
1468,46,0,0
1469,27,0,0
1470,59,0,0
1471,88,0,0
1472,46,0,0
1473,82,0,0
1474,89,0,0
1475,2,0,0
1476,55,0,0
1477,46,0,0
1478,11,0,0
1479,57,0,0
1480,67,0,0
1481,59,0,0
1482,73,0,2
1483,72,0,0
1484,82,0,0
1485,0,0,21
1486,0,0,43
1487,0,0,18
1488,0,0,54
1489,0,0,69
1490,0,0,95
1491,0,0,62
1492,0,0,58
1493,0,0,68
1494,0,0,70
1495,75,0,0
1496,73,0,0
1497,52,0,0
1498,61,0,0
1499,16,0,0
1500,36,0,0
1501,3,0,0
1502,10,0,0
1503,42,0,0
1504,83,0,0
1505,94,0,0
1506,92,0,0
1507,35,0,0
1508,29,0,0
1509,13,0,0
1510,80,0,0
1511,99,0,0
1512,95,0,0
1513,74,0,0
1514,71,0,0
1515,16,0,0
1516,22,0,0
1517,6,0,0
1518,67,0,0
1519,48,0,0
1520,36,0,0
1521,18,0,1
1522,36,0,0
1523,39,0,0
1524,7,0,0
1525,19,0,0
1526,68,0,0
1527,68,0,0
1528,64,0,0
1529,17,0,0
1530,1,0,0
1531,25,0,1
1532,7,0,0
1533,23,0,1
1534,54,0,0
1535,87,0,0
1536,0,0,3
1537,39,0,0
1538,52,0,0
1539,33,0,0
1540,27,0,0
1541,18,0,0
1542,56,0,0
1543,29,0,0
1544,59,0,0
1545,73,0,0
1546,64,0,0
1547,0,0,11
1548,0,0,60
1549,0,0,6
1550,0,0,43
1551,0,0,6
1552,0,0,43
1553,0,0,7
1554,0,0,11
1555,0,0,16
1556,0,0,3
1557,0,0,62
1558,0,0,44
1559,0,0,7
1560,0,0,37
1561,0,0,3
1562,0,0,4
1563,0,0,2
1564,0,0,74
1565,0,0,5
1566,0,0,2
1567,0,0,52
1568,0,0,12
1569,0,3,1
1570,0,0,1
1571,0,8,0
1572,0,9,0
1573,0,18,0
1574,0,2,0
1575,0,49,0
1576,0,5,0
1577,0,7,0
1578,0,20,0
1579,0,9,0
1580,0,1,0
1581,0,34,0
1582,0,34,0
1583,0,25,0
1584,0,27,0
1585,0,32,0
1586,0,38,0
1587,0,13,0
1588,0,24,0
1589,0,34,0
1590,0,2,0
1591,0,3,0
1592,0,20,0
1593,0,17,1
1594,0,12,0
1595,29,32,0
1596,13,28,0
1597,12,14,36
1598,24,30,7
1599,20,31,11
1600,19,15,4
1601,2,2,8
1602,29,12,0
1603,32,14,19
1604,61,4,12
1605,72,1,6
1606,19,24,0
1607,18,6,1
1608,15,9,32
1609,36,15,2
1610,26,5,2
1611,17,12,4
1612,5,13,0
1613,3,0,24
1614,10,10,2
1615,43,15,4
1616,12,9,11
1617,22,36,13
1618,43,34,6
1619,8,23,0
1620,16,11,4
1621,1,0,1
1622,34,7,0
1623,28,0,1
1624,25,6,9
1625,18,7,19
1626,41,0,18
1627,72,0,2
1628,1,13,0
1629,0,1,0
1630,0,30,0
1631,0,15,0
1632,0,31,0
1633,0,10,0
1634,0,31,0
1635,0,0,2
1636,0,49,0
1637,0,27,0
1638,0,4,0
1639,0,1,0
1640,0,29,0
1641,0,2,0
1642,0,14,0
1643,0,54,0
1644,0,32,0
1645,0,30,0
1646,0,3,0
1647,0,1,0
1648,0,30,0
1649,0,18,0
1650,18,14,12
1651,28,25,1
1652,9,24,11
1653,0,0,1
1654,29,23,4
1655,62,0,0
1656,10,5,33
1657,84,0,0
1658,10,16,57
1659,13,13,10
1660,37,4,0
1661,25,20,0
1662,11,31,1
