,C,R50,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
240,70,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
241,0,0,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
242,0,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
243,0,0,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
244,0,0,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
245,66,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
246,0,0,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
247,0,0,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
248,0,0,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
249,0,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
250,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
251,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
252,0,0,78,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
253,0,0,84,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
254,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
255,0,0,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
256,1,0,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
257,0,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
258,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
259,0,0,85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
260,0,0,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
261,0,0,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
262,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
263,3,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
264,0,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
265,1,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
266,84,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
267,0,0,87,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
268,5,0,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
269,0,0,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
270,0,0,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
271,100,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
272,95,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
273,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
274,95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
275,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
276,52,0,15,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
277,92,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
278,69,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
279,94,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
280,99,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
281,1,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
282,1,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
283,0,0,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
