,F,C,R75
1104,1,55,0
1105,0,73,0
1106,0,89,0
1107,0,91,2
1108,0,83,0
1109,0,99,0
1110,2,56,7
1111,16,40,15
1112,1,5,17
1113,0,2,77
1114,0,2,92
1115,0,0,2
1116,0,0,14
1117,0,20,34
1118,0,13,71
1119,1,5,39
1120,0,4,0
1121,26,63,0
1122,0,2,0
1123,0,3,77
1124,0,11,18
1125,0,12,24
1126,24,17,0
1127,1,1,0
1128,0,0,83
1129,0,5,46
1130,0,5,63
1131,0,13,5
1132,0,10,18
1133,0,19,26
1134,0,8,4
1135,0,0,43
1136,0,7,54
1137,0,6,71
1138,1,3,7
1139,1,30,12
1140,0,9,61
1141,33,47,18
1142,0,81,0
1143,0,10,2
1144,0,0,5
1145,0,1,15
1146,0,1,69
1147,0,0,4
1148,0,14,49
1149,0,26,45
1150,4,47,13
1151,9,40,7
1152,0,0,54
1153,1,19,4
1154,0,4,76
1155,0,1,0
1156,1,1,60
1157,1,10,33
1158,0,29,10
1159,0,29,13
1160,0,73,0
1161,4,9,0
1162,4,27,0
1163,2,87,11
1164,4,1,0
1165,1,0,1
1166,1,0,0
1167,0,0,1
1168,1,2,97
1169,0,2,35
1170,0,0,35
1171,0,41,42
1172,1,7,18
1173,1,65,23
1174,0,32,0
1175,0,7,23
1176,0,0,1
1177,1,0,0
1178,0,23,1
1179,0,18,72
1180,0,50,0
1181,0,2,1
1182,0,18,1
1183,0,3,60
1184,0,1,5
1185,0,7,85
1186,0,56,19
1187,0,68,0
1188,1,5,53
1189,0,26,23
1190,0,14,29
1191,0,7,7
1192,1,28,16
1193,0,7,64
1194,4,1,3
1195,0,0,74
1196,0,0,9
1197,1,2,79
1198,2,12,16
1199,0,10,18
1200,1,4,20
1201,1,6,45
1202,1,0,0
1203,15,37,22
1204,0,1,15
1205,1,2,1
1206,0,26,0
1207,0,0,19
1208,0,52,12
1209,0,14,16
1210,1,38,21
1211,0,51,0
1212,11,25,9
1213,1,0,0
1214,0,3,0
1215,0,35,27
1216,0,1,85
1217,0,16,54
1218,0,3,72
1219,0,1,1
1220,0,0,2
1221,0,16,66
1222,0,73,4
1223,0,1,56
1224,0,57,28
1225,3,0,0
1226,0,69,2
1227,0,2,1
1228,1,0,1
1229,0,13,21
1230,0,6,61
1231,0,7,23
1232,1,0,0
1233,3,9,12
1234,0,47,0
1235,0,2,2
1236,1,5,33
1237,32,37,5
1238,8,25,5
1239,2,21,47
1240,8,63,10
1241,0,0,83
1242,0,13,88
1243,0,4,26
1244,0,4,76
1245,0,4,96
1246,1,79,0
1247,1,3,76
1248,1,0,0
1249,0,1,48
1250,0,6,69
1251,0,12,68
1252,1,28,11
1253,0,4,61
1254,0,2,69
1255,0,41,13
1256,0,38,22
1257,5,25,18
1258,0,36,18
1259,0,16,55
1260,0,19,0
1261,1,45,45
1262,4,5,79
1263,0,3,91
1264,0,6,58
1265,1,3,0
1266,1,34,1
1267,0,12,60
1268,0,84,0
1269,3,38,31
1270,0,0,2
1271,0,28,7
1272,0,4,36
1273,0,3,70
1274,1,67,0
1275,3,57,19
1276,0,89,0
1277,0,18,43
1278,0,2,81
1279,0,30,53
1280,1,47,38
1281,0,0,71
1282,0,8,62
1283,0,0,1
1284,0,15,61
1285,0,30,53
1286,0,17,69
1287,0,39,7
1288,0,0,92
1289,0,50,14
1290,0,58,36
1291,0,13,16
1292,0,38,42
1293,0,0,81
1294,0,23,36
1295,0,1,73
1296,0,7,15
1297,0,0,86
1298,0,5,15
1299,0,50,0
1300,0,1,0
1301,0,29,1
1302,0,34,0
1303,0,38,0
1304,0,38,0
1305,0,68,0
1306,0,0,1
1307,0,0,30
1308,0,0,26
1309,1,93,4
1310,1,0,0
1311,0,21,7
1312,0,58,0
1313,0,0,2
1314,0,0,4
1315,0,0,13
1316,0,5,2
1317,1,80,18
1318,0,1,1
1319,0,0,17
1320,1,0,0
1321,0,81,12
1322,0,1,0
1323,0,1,29
1324,1,0,3
1325,0,0,10
1326,0,2,26
1327,0,4,33
1328,0,0,4
1329,1,43,2
1330,0,77,0
1331,0,2,4
1332,0,0,21
1333,0,58,0
1334,0,95,2
1335,0,74,9
1336,0,71,0
1337,1,61,0
1338,0,44,0
1339,0,45,3
1340,0,60,2
1341,0,77,0
1342,0,41,1
1343,0,63,0
1344,0,51,3
1345,0,14,0
1346,0,88,0
1347,0,0,34
